Arquivo,Classe,Total de Pixels
00000218.jpg,personagem_2,0
00000219.jpg,personagem_1,2
00000219.jpg,personagem_2,0
00000220.jpg,personagem_1,0
00000220.jpg,personagem_2,0
00000221.jpg,personagem_1,21155
00000221.jpg,personagem_2,0
00000222.jpg,personagem_1,8516
00000222.jpg,personagem_2,0
00000223.jpg,personagem_1,1753
00000223.jpg,personagem_2,0
00000224.jpg,personagem_1,2
00000224.jpg,personagem_2,0
00000225.jpg,personagem_1,23100
00000225.jpg,personagem_2,0
00000226.jpg,personagem_1,35
00000226.jpg,personagem_2,0
00000227.jpg,personagem_1,9402
00000227.jpg,personagem_2,0
00000228.jpg,personagem_1,26560
00000228.jpg,personagem_2,0
00000229.jpg,personagem_1,1063
00000229.jpg,personagem_2,0
00000230.jpg,personagem_1,2428
00000230.jpg,personagem_2,52
099da00854584eaa84533a0fa49c248b.jpg,personagem_1,0
099da00854584eaa84533a0fa49c248b.jpg,personagem_2,0
133a17fb19784e21ab8b7faec8959aa3.jpg,personagem_1,64
133a17fb19784e21ab8b7faec8959aa3.jpg,personagem_2,0
15a0d84c7a334c398b35d264d03d2316.jpg,personagem_1,14866
15a0d84c7a334c398b35d264d03d2316.jpg,personagem_2,0
16bd486ed357480f87dc3586d2a70466.jpg,personagem_1,384917
16bd486ed357480f87dc3586d2a70466.jpg,personagem_2,0
175a448e252e4ae9a93ca7fbd3f29ea7.jpg,personagem_1,26071
175a448e252e4ae9a93ca7fbd3f29ea7.jpg,personagem_2,0
17ca3a97a048407ab853df33db099b3f.jpg,personagem_1,7292
17ca3a97a048407ab853df33db099b3f.jpg,personagem_2,0
1debff5538d7402188a3808bf07e6351.jpg,personagem_1,9803
1debff5538d7402188a3808bf07e6351.jpg,personagem_2,0
2605c95e910f46bcb64054dea6403f2f.jpg,personagem_1,771
2605c95e910f46bcb64054dea6403f2f.jpg,personagem_2,0
278eab3dfdd24d178b31be5985271978.jpg,personagem_1,32453
278eab3dfdd24d178b31be5985271978.jpg,personagem_2,0
27a5d9dba76240a7b4e4abd2015a71d4.jpg,personagem_1,24636
27a5d9dba76240a7b4e4abd2015a71d4.jpg,personagem_2,0
281595c16d2a4f91a0deb78df913c10c.jpg,personagem_1,3357
281595c16d2a4f91a0deb78df913c10c.jpg,personagem_2,0
374c36a2a0284c5497106b9ac682e59e.jpg,personagem_1,20912
374c36a2a0284c5497106b9ac682e59e.jpg,personagem_2,0
3acb4f11b6424702bf3d7e4105603d60.jpg,personagem_1,1
3acb4f11b6424702bf3d7e4105603d60.jpg,personagem_2,0
3c57b9ec18724dcda5ef0a545b5b50ab.jpg,personagem_1,282573
3c57b9ec18724dcda5ef0a545b5b50ab.jpg,personagem_2,0
4d762b74e6884feeb216e712e836ab8d.jpg,personagem_1,21
4d762b74e6884feeb216e712e836ab8d.jpg,personagem_2,0
4d82dedaab6b410d88e3887db6e2671f.jpg,personagem_1,1
4d82dedaab6b410d88e3887db6e2671f.jpg,personagem_2,0
511b28b12b1d485698ba1cbe03043913.jpg,personagem_1,57218
511b28b12b1d485698ba1cbe03043913.jpg,personagem_2,0
56ed4f13d4364971a9065792d851f32d.jpg,personagem_1,118285
56ed4f13d4364971a9065792d851f32d.jpg,personagem_2,0
65b464af04594ab4b46fff171e8b343f.jpg,personagem_1,0
65b464af04594ab4b46fff171e8b343f.jpg,personagem_2,0
65bc23b12fc74080be30aff7ca6d59f8.jpg,personagem_1,41625
65bc23b12fc74080be30aff7ca6d59f8.jpg,personagem_2,0
66116bd840e649d283f7e8d29c2460cd.jpg,personagem_1,23293
66116bd840e649d283f7e8d29c2460cd.jpg,personagem_2,0
68be31b6780d45188c74315746da8d98.jpg,personagem_1,212
68be31b6780d45188c74315746da8d98.jpg,personagem_2,0
6b98aace39044b37871110198106dc1a.jpg,personagem_1,3
6b98aace39044b37871110198106dc1a.jpg,personagem_2,0
703bfe65fbd648be80a23b3b0297f7bd.jpg,personagem_1,53
703bfe65fbd648be80a23b3b0297f7bd.jpg,personagem_2,0
7061207b956d4d5094a5229da1218cd7.jpg,personagem_1,0
7061207b956d4d5094a5229da1218cd7.jpg,personagem_2,0
71d3e12f365e460e92999a9790925e4e.jpg,personagem_1,27870
71d3e12f365e460e92999a9790925e4e.jpg,personagem_2,0
77e4a4c7b1c3428784f3d46a04841e11.jpg,personagem_1,31441
77e4a4c7b1c3428784f3d46a04841e11.jpg,personagem_2,0
798f56922ecc4667b1bd37748e375b8e.jpg,personagem_1,23
798f56922ecc4667b1bd37748e375b8e.jpg,personagem_2,0
818b49232f81442cbb4359466bb1431d.jpg,personagem_1,42695
818b49232f81442cbb4359466bb1431d.jpg,personagem_2,0
8985ccc024dd450db3c7a46e6b600608.jpg,personagem_1,4
8985ccc024dd450db3c7a46e6b600608.jpg,personagem_2,0
89a12be153904979ad6b74fe67923e05.jpg,personagem_1,6430
89a12be153904979ad6b74fe67923e05.jpg,personagem_2,0
91b7465f07bb45e8a6241dd43645a50b.jpg,personagem_1,819
91b7465f07bb45e8a6241dd43645a50b.jpg,personagem_2,0
92cb58953ec04290ba25bd9c6ba1d27a.jpg,personagem_1,1
92cb58953ec04290ba25bd9c6ba1d27a.jpg,personagem_2,0
9414c933af5343a8971180f52c6707ac.jpg,personagem_1,10518
9414c933af5343a8971180f52c6707ac.jpg,personagem_2,0
9479b94e7b1c4aab9b1ea7a33bf2de3c.jpg,personagem_1,2
9479b94e7b1c4aab9b1ea7a33bf2de3c.jpg,personagem_2,0
98761f915b2f4b1f8e056cf65545c652.jpg,personagem_1,0
98761f915b2f4b1f8e056cf65545c652.jpg,personagem_2,0
9ee934a7808e4690b46821eaf1c40662.jpg,personagem_1,4325
9ee934a7808e4690b46821eaf1c40662.jpg,personagem_2,0
ad8d14bca95c4533a466fc83e1fc373d.jpg,personagem_1,1186
ad8d14bca95c4533a466fc83e1fc373d.jpg,personagem_2,108
b04f6c692cd3419d8f53fba9f8972953.jpg,personagem_1,4568
b04f6c692cd3419d8f53fba9f8972953.jpg,personagem_2,0
b515c0ed476d4bf796b96c5d330ef12a.jpg,personagem_1,51653
b515c0ed476d4bf796b96c5d330ef12a.jpg,personagem_2,0
c3d5cae850e4472cb60b6767c3e3ec5f.jpg,personagem_1,35219
c3d5cae850e4472cb60b6767c3e3ec5f.jpg,personagem_2,0
c452a0e955a9453fabed27b796dbb50f.jpg,personagem_1,42477
c452a0e955a9453fabed27b796dbb50f.jpg,personagem_2,0
c4617803350d475cb7788d47120fd424.jpg,personagem_1,47736
c4617803350d475cb7788d47120fd424.jpg,personagem_2,0
c61c6daea89341ad808388c3cbc9e117.jpg,personagem_1,794213
c61c6daea89341ad808388c3cbc9e117.jpg,personagem_2,0
c74c0425d9aa4343821d29625bf59deb.jpg,personagem_1,359624
c74c0425d9aa4343821d29625bf59deb.jpg,personagem_2,0
c8d591c676304667aa2f391dd1a0a7dc.jpg,personagem_1,2027
c8d591c676304667aa2f391dd1a0a7dc.jpg,personagem_2,0
cd77275f4b434312b374d211993bc1dd.jpg,personagem_1,51
cd77275f4b434312b374d211993bc1dd.jpg,personagem_2,0
d47fe72eabaf470dab0588f91a1afc85.jpg,personagem_1,12769
d47fe72eabaf470dab0588f91a1afc85.jpg,personagem_2,0
e0e5b0b035e34d8d984bd8448b12f7dc.jpg,personagem_1,0
e0e5b0b035e34d8d984bd8448b12f7dc.jpg,personagem_2,0
e2a169374f3248ceb336bd7870cde803.jpg,personagem_1,376835
e2a169374f3248ceb336bd7870cde803.jpg,personagem_2,0
e63006a99ba44ea986711830af5de27d.jpg,personagem_1,2626
e63006a99ba44ea986711830af5de27d.jpg,personagem_2,0
eb8bc590c79b418194b8b41f299a3edf.jpg,personagem_1,443
eb8bc590c79b418194b8b41f299a3edf.jpg,personagem_2,0
ed35cfd00fb94e99af1fae8bfa185339.jpg,personagem_1,628
ed35cfd00fb94e99af1fae8bfa185339.jpg,personagem_2,0
ee0e233fc4cc47b5bd4ec3336bc56d6e.jpg,personagem_1,34
ee0e233fc4cc47b5bd4ec3336bc56d6e.jpg,personagem_2,0
fb024a4f44af4dd7ab13a4adda549621.jpg,personagem_1,0
fb024a4f44af4dd7ab13a4adda549621.jpg,personagem_2,0
feb7b8411795415784350bb406a4001d.jpg,personagem_1,102403
feb7b8411795415784350bb406a4001d.jpg,personagem_2,0
00000014.jpg,personagem_1,50
00000014.jpg,personagem_2,23
00000015.jpg,personagem_1,14318
00000015.jpg,personagem_2,0
00000016.jpg,personagem_1,12330
00000016.jpg,personagem_2,0
00000017.jpg,personagem_1,1917
00000017.jpg,personagem_2,0
00000018.jpg,personagem_1,0
00000018.jpg,personagem_2,0
00000019.jpg,personagem_1,21040
00000019.jpg,personagem_2,0
00000020.jpg,personagem_1,1822
00000020.jpg,personagem_2,0
00000021.jpg,personagem_1,32846
00000021.jpg,personagem_2,0
00000022.jpg,personagem_1,3746
00000022.jpg,personagem_2,0
00000023.jpg,personagem_1,39
00000023.jpg,personagem_2,0
00000024.jpg,personagem_1,0
00000024.jpg,personagem_2,0
00000025.jpg,personagem_1,2277
00000025.jpg,personagem_2,0
00000026.jpg,personagem_1,0
00000026.jpg,personagem_2,0
00000027.jpg,personagem_1,11041
00000027.jpg,personagem_2,0
00000028.jpg,personagem_1,39336
00000028.jpg,personagem_2,14142
00000029.jpg,personagem_1,492
00000029.jpg,personagem_2,1
00000030.jpg,personagem_1,0
00000030.jpg,personagem_2,0
00000031.jpg,personagem_1,1
00000031.jpg,personagem_2,0
00000032.jpg,personagem_1,308
00000032.jpg,personagem_2,0
00000033.jpg,personagem_1,0
00000033.jpg,personagem_2,0
00000034.jpg,personagem_1,0
00000034.jpg,personagem_2,0
00000035.jpg,personagem_1,0
00000035.jpg,personagem_2,0
00000036.jpg,personagem_1,1
00000036.jpg,personagem_2,0
